benchmark;flow;op_num;op_type;size_mig;depth_mig;runtime;size;depth
square;map_resub_l6;7;mig_mapper;9075;126;0.18359062;18484;250
square;map_resub_l6;8;mig_resub;9064;126;0.05635427;18484;250
square;map_resub_l6;9;mig_mapper;9074;126;0.19103229;18484;250
square;map_resub_l6;10;mig_resub;9063;126;0.055778343;18484;250
square;map_resub_l6;11;mig_mapper;9074;126;0.18361169;18484;250
square;map_resub_l6;12;mig_resub;9064;126;0.0570096;18484;250
square;map_resub_l6;13;end;9064;126;0.0;18484;250
sqrt;map_resub_l6;0;root;24618;5058;0;24618;5058
sqrt;map_resub_l6;1;mig_mapper;20724;5074;1.886705;24618;5058
sqrt;map_resub_l6;2;mig_resub;18570;7568;0.38217178;24618;5058
sqrt;map_resub_l6;3;mig_mapper;13105;2349;1.2137272;24618;5058
sqrt;map_resub_l6;4;mig_resub;12863;2375;0.11105567;24618;5058
sqrt;map_resub_l6;5;mig_mapper;12736;2371;0.32363492;24618;5058
sqrt;map_resub_l6;6;mig_resub;12691;2371;0.09857642;24618;5058
sqrt;map_resub_l6;7;mig_mapper;12653;2332;0.355059;24618;5058
sqrt;map_resub_l6;8;mig_resub;12647;2332;0.09533796;24618;5058
sqrt;map_resub_l6;9;mig_mapper;12649;2329;0.35142225;24618;5058
sqrt;map_resub_l6;10;mig_resub;12642;2329;0.09491791;24618;5058
sqrt;map_resub_l6;11;mig_mapper;12645;2329;0.34294602;24618;5058
sqrt;map_resub_l6;12;mig_resub;12637;2329;0.09468317;24618;5058
sqrt;map_resub_l6;13;end;12637;2329;0.0;24618;5058
arbiter;map_resub_l6;0;root;11839;87;0;11839;87
arbiter;map_resub_l6;1;mig_mapper;6996;59;1.6444707;11839;87
arbiter;map_resub_l6;2;mig_resub;6866;60;0.14480829;11839;87
arbiter;map_resub_l6;3;mig_mapper;6866;61;0.68450475;11839;87
arbiter;map_resub_l6;4;mig_resub;6866;61;0.17228942;11839;87
arbiter;map_resub_l6;5;mig_mapper;6866;60;0.7148305;11839;87
arbiter;map_resub_l6;6;mig_resub;6866;60;0.14626077;11839;87
