benchmark;flow;size;size_mig;depth;depth_mig;runtime
arbiter;mig_map+resub+algb2;11839;4513;87;21;80.906296
cavlc;mig_map+resub+algb2;693;529;16;13;687.4953
ctrl;mig_map+resub+algb2;174;75;10;9;16.18785
dec;mig_map+resub+algb2;304;304;3;3;0.1739744
i2c;mig_map+resub+algb2;1342;1121;20;12;12.754244
int2float;mig_map+resub+algb2;260;197;16;10;9.708125
mem_ctrl;mig_map+resub+algb2;46836;38911;114;97;2501.8987
priority;mig_map+resub+algb2;978;542;250;117;4.5092974
router;mig_map+resub+algb2;257;190;54;42;1.2989492
voter;mig_map+resub+algb2;13758;4266;70;48;40.896286
