benchmark;flow;size;size_mig;depth;depth_mig;runtime
c1908;map_resub_l3;1;mig_mapper;258;18;0.06830698;341;27
c1908;map_resub_l3;2;mig_resub;248;17;0.019999817;341;27
c1908;map_resub_l3;3;mig_mapper;246;17;0.00767728;341;27
c1908;map_resub_l3;4;mig_resub;245;17;0.001798789;341;27
c1908;map_resub_l3;5;mig_mapper;245;17;0.020748653;341;27
c1908;map_resub_l3;6;mig_resub;245;17;0.001791871;341;27
c1908;map_resub_l3;7;end;245;17;0.0;341;27
c2670;map_resub_l3;0;root;716;20;0;716;20
c2670;map_resub_l3;1;mig_mapper;489;16;0.08117286;716;20
c2670;map_resub_l3;2;mig_resub;477;16;0.002751055;716;20
c2670;map_resub_l3;3;mig_mapper;475;15;0.02714329;716;20
c2670;map_resub_l3;4;mig_resub;474;15;0.002709946;716;20
c2670;map_resub_l3;5;mig_mapper;472;15;0.026172364;716;20
c2670;map_resub_l3;6;mig_resub;472;15;0.002672404;716;20
c2670;map_resub_l3;7;end;472;15;0.0;716;20
c5315;map_resub_l3;0;root;1776;37;0;1776;37
c5315;map_resub_l3;1;mig_mapper;1228;25;0.21895431;1776;37
c5315;map_resub_l3;2;mig_resub;1155;26;0.00925299;1776;37
c5315;map_resub_l3;3;mig_mapper;1134;24;0.032282837;1776;37
c5315;map_resub_l3;4;mig_resub;1133;24;0.006639405;1776;37
c5315;map_resub_l3;5;mig_mapper;1132;24;0.027998835;1776;37
c5315;map_resub_l3;6;mig_resub;1132;24;0.0072641;1776;37
c5315;map_resub_l3;7;end;1132;24;0.0;1776;37
simple_spi;map_resub_l3;0;root;1053;12;0;1053;12
simple_spi;map_resub_l3;1;mig_mapper;806;10;0.14167276;1053;12
simple_spi;map_resub_l3;2;mig_resub;791;10;0.027975695;1053;12
simple_spi;map_resub_l3;3;mig_mapper;785;10;0.06539154;1053;12
simple_spi;map_resub_l3;4;mig_resub;772;10;0.026445832;1053;12
simple_spi;map_resub_l3;5;mig_mapper;771;10;0.034939382;1053;12
simple_spi;map_resub_l3;6;mig_resub;769;10;0.021257788;1053;12
simple_spi;map_resub_l3;7;end;769;10;0.0;1053;12
c499;map_resub_l3;0;root;398;19;0;398;19
c499;map_resub_l3;1;mig_mapper;316;16;0.08659099;398;19
c499;map_resub_l3;2;mig_resub;316;16;0.012403398;398;19
c499;map_resub_l3;3;mig_mapper;316;16;0.025232835;398;19
c499;map_resub_l3;4;mig_resub;316;16;0.003441478;398;19
c499;map_resub_l3;5;mig_mapper;307;16;0.02460994;398;19
c499;map_resub_l3;6;mig_resub;307;16;0.003432181;398;19
c499;map_resub_l3;7;end;307;16;0.0;398;19
c1355;map_resub_l3;0;root;502;25;0;502;25
c1355;map_resub_l3;1;mig_mapper;316;16;0.13486849;502;25
c1355;map_resub_l3;2;mig_resub;316;16;0.003037439;502;25
c1355;map_resub_l3;3;mig_mapper;317;16;0.024895823;502;25
c1355;map_resub_l3;4;mig_resub;316;16;0.003323322;502;25
c1355;map_resub_l3;5;mig_mapper;298;16;0.027092338;502;25
