benchmark;flow;op_num;op_type;size;depth;runtime
log2;map;map;map;resub;cr-z;map;map;3;101;24328;208;15.539029
log2;map;map;map;resub;cr-z;map;map;4;105;24182;208;19.42105
log2;map;map;map;resub;cr-z;map;map;5;104;24182;208;18.96309
log2;map;map;map;resub;cr-z;map;map;6;101;24196;206;9.195261
log2;map;map;map;resub;cr-z;map;map;7;101;24197;207;9.297096
log2;map;map;map;resub;cr-z;map;map;8;1;24197;207;0.0
i2c;map_l_3;0;0;1342;20;0.0
i2c;map_l_3;1;0;1342;20;0.0
i2c;map_l_3;2;3;1217;12;0.0
i2c;map_l_3;3;1;1217;12;0.0
sqrt;map_l_5;0;0;24618;5058;0.0
sqrt;map_l_5;1;0;24618;5058;0.0
sqrt;map_l_5;2;3;17355;3846;0.0
sqrt;map_l_5;3;1;17355;3846;0.0
int2float;map_l_3;0;0;260;16;0.0
int2float;map_l_3;1;0;260;16;0.0
int2float;map_l_3;2;3;223;10;0.0
int2float;map_l_3;3;1;223;10;0.0
max;map;map;map;resub;cr-z;map;map;0;0;2865;287;0.0
max;map;map;map;resub;cr-z;map;map;1;101;2413;158;5.1212664
max;map;map;map;resub;cr-z;map;map;2;101;2284;167;1.9410865
max;map;map;map;resub;cr-z;map;map;3;101;2273;159;1.4136586
max;map;map;map;resub;cr-z;map;map;4;105;2265;159;0.75898975
max;map;map;map;resub;cr-z;map;map;5;104;2265;159;2.5341828
max;map;map;map;resub;cr-z;map;map;6;101;2245;172;1.3198223
max;map;map;map;resub;cr-z;map;map;7;101;2221;160;1.4228498
max;map;map;map;resub;cr-z;map;map;8;1;2221;160;0.0
square;map_l_3;0;0;18484;250;0.0
square;map_l_3;1;0;18484;250;0.0
square;map_l_3;2;3;11924;126;0.0
square;map_l_3;3;1;11924;126;0.0
square;map_l_5;0;0;18484;250;0.0
square;map_l_5;1;0;18484;250;0.0
square;map_l_5;2;3;11924;126;0.0
square;map_l_5;3;1;11924;126;0.0
arbiter;map_l_3;0;0;11839;87;0.0
arbiter;map_l_3;1;0;11839;87;0.0
arbiter;map_l_3;2;3;6996;59;0.0
arbiter;map_l_3;3;1;6996;59;0.0
cavlc;map_l_3;0;0;693;16;0.0
cavlc;map_l_3;1;0;693;16;0.0
cavlc;map_l_3;2;3;623;13;0.0
cavlc;map_l_3;3;1;623;13;0.0
multiplier;map;map;map;resub;cr-z;map;map;0;0;27062;274;0.0
multiplier;map;map;map;resub;cr-z;map;map;1;101;19354;143;35.668312
multiplier;map;map;map;resub;cr-z;map;map;2;101;19299;142;9.585696
multiplier;map;map;map;resub;cr-z;map;map;3;101;19306;142;5.8325334
multiplier;map;map;map;resub;cr-z;map;map;4;105;19211;149;12.386675
multiplier;map;map;map;resub;cr-z;map;map;5;104;19211;149;12.020641
multiplier;map;map;map;resub;cr-z;map;map;6;101;19210;149;6.022742
multiplier;map;map;map;resub;cr-z;map;map;7;101;19210;149;6.3254404
multiplier;map;map;map;resub;cr-z;map;map;8;1;19210;149;0.0
ctrl;map_l_3;0;0;174;10;0.0
ctrl;map_l_3;1;0;174;10;0.0
ctrl;map_l_3;2;3;114;5;0.0
ctrl;map_l_3;3;1;114;5;0.0
dec;map_l_3;0;0;304;3;0.0
dec;map_l_3;1;0;304;3;0.0
dec;map_l_3;2;3;304;3;0.0
dec;map_l_3;3;1;304;3;0.0
i2c;map_l_3;0;0;1342;20;0.0
i2c;map_l_3;1;0;1342;20;0.0
i2c;map_l_3;2;3;1217;12;0.0
i2c;map_l_3;3;1;1217;12;0.0
arbiter;map_l_5;0;0;11839;87;0.0
arbiter;map_l_5;1;0;11839;87;0.0
arbiter;map_l_5;2;3;6996;59;0.0
arbiter;map_l_5;3;1;6996;59;0.0
int2float;map_l_3;0;0;260;16;0.0
int2float;map_l_3;1;0;260;16;0.0
int2float;map_l_3;2;3;223;10;0.0
int2float;map_l_3;3;1;223;10;0.0
cavlc;map_l_5;0;0;693;16;0.0
cavlc;map_l_5;1;0;693;16;0.0
cavlc;map_l_5;2;3;623;13;0.0
cavlc;map_l_5;3;1;623;13;0.0
ctrl;map_l_5;0;0;174;10;0.0
ctrl;map_l_5;1;0;174;10;0.0
ctrl;map_l_5;2;3;114;5;0.0
ctrl;map_l_5;3;1;114;5;0.0
sin;map;map;map;resub;cr-z;map;map;0;0;5416;225;0.0
sin;map;map;map;resub;cr-z;map;map;1;101;4248;127;7.336261
sin;map;map;map;resub;cr-z;map;map;2;101;4200;126;2.8200636
sin;map;map;map;resub;cr-z;map;map;3;101;4198;123;2.550904
sin;map;map;map;resub;cr-z;map;map;4;105;4153;125;64.323654
sin;map;map;map;resub;cr-z;map;map;5;104;4153;125;3.7415462
sin;map;map;map;resub;cr-z;map;map;6;101;4156;124;1.5446001
sin;map;map;map;resub;cr-z;map;map;7;101;4155;124;1.5469171
sin;map;map;map;resub;cr-z;map;map;8;1;4155;124;0.0
dec;map_l_5;0;0;304;3;0.0
dec;map_l_5;1;0;304;3;0.0
dec;map_l_5;2;3;304;3;0.0
dec;map_l_5;3;1;304;3;0.0
i2c;map_l_5;0;0;1342;20;0.0
i2c;map_l_5;1;0;1342;20;0.0
i2c;map_l_5;2;3;1217;12;0.0
i2c;map_l_5;3;1;1217;12;0.0
int2float;map_l_5;0;0;260;16;0.0
int2float;map_l_5;1;0;260;16;0.0
int2float;map_l_5;2;3;223;10;0.0
int2float;map_l_5;3;1;223;10;0.0
mem_ctrl;map_l_3;0;0;46836;114;0.0
mem_ctrl;map_l_3;1;0;46836;114;0.0
mem_ctrl;map_l_3;2;3;41267;94;0.0
mem_ctrl;map_l_3;3;1;41267;94;0.0
priority;map_l_3;0;0;978;250;0.0
priority;map_l_3;1;0;978;250;0.0
priority;map_l_3;2;3;808;117;0.0
priority;map_l_3;3;1;808;117;0.0
router;map_l_3;0;0;257;54;0.0
router;map_l_3;1;0;257;54;0.0
router;map_l_3;2;3;207;43;0.0
router;map_l_3;3;1;207;43;0.0
sqrt;map;map;map;resub;cr-z;map;map;0;0;24618;5058;0.0
sqrt;map;map;map;resub;cr-z;map;map;1;101;20724;5074;25.528028
sqrt;map;map;map;resub;cr-z;map;map;2;101;20374;4904;15.959011
sqrt;map;map;map;resub;cr-z;map;map;3;101;20161;4864;14.629483
sqrt;map;map;map;resub;cr-z;map;map;4;105;18310;7052;27.127533
sqrt;map;map;map;resub;cr-z;map;map;5;104;18310;7052;17.97044
sqrt;map;map;map;resub;cr-z;map;map;6;101;13541;2546;9.331703
sqrt;map;map;map;resub;cr-z;map;map;7;101;13162;2366;3.57454
sqrt;map;map;map;resub;cr-z;map;map;8;1;13162;2366;0.0
voter;map_l_3;0;0;13758;70;0.0
